Nama,Kategori,Harga,Waktu_Makan,Lokasi,Deskripsi,Rating,Waktu_Persiapan,Popularitas,Ketersediaan
Kue Cubit Green Tea,Manis,15000,Camilan,Jakarta,Kue cubit dengan rasa green tea,4.2,10,800,89
Kue Ape Cokelat,Manis,9000,Camilan,Jakarta,Kue ape dengan taburan cokelat.,4.1,10,750,88
Kue Ape Keju,Manis,10000,Camilan,Jakarta,Kue ape dengan taburan keju.,4.1,10,780,89
Es Lilin,Manis,5000,Semua,Jakarta,Es krim beku dalam plastik,3.9,5,700,85
Es Balok,Manis,3000,Semua,Jakarta,Es batu besar yang diserut dan disiram sirup.,3.5,2,600,70
Es Krim Puter,Manis,18000,Semua,Jawa Tengah,Es krim tradisional yang diputar,4.3,10,800,90
Es Krim Dong-dong,Manis,10000,Semua,Jawa Tengah,Es krim dalam roti tawar,4,5,750,88
Roti Cane,Gurih/Umami,18000,Semua,Aceh,Roti pipih India yang renyah,4.5,15,880,92
Martabak Mesir,Gurih/Umami,40000,Makan Malam,Sumatera Barat,Martabak telur dengan isian daging dan kuah kari,4.6,20,900,94
Sate Padang Komplit,Pedas,45000,Makan Malam,Sumatera Barat,Sate Padang dengan semua jenis daging,4.8,30,950,97
Rendang Daging,Gurih/Umami,50000,Makan Malam,Sumatera Barat,Olahan daging sapi dengan bumbu rempah khas Padang,4.9,240,1000,100
Rendang Ayam,Gurih/Umami,40000,Makan Malam,Sumatera Barat,Olahan ayam dengan bumbu rempah rendang,4.7,90,950,97
Rendang Telur,Gurih/Umami,30000,Makan Siang,Sumatera Barat,Telur rebus yang dimasak dengan bumbu rendang.,4.5,60,880,92
Rendang Jengkol,Gurih/Umami,35000,Makan Siang,Sumatera Barat,Jengkol yang dimasak rendang,4.6,120,900,93
Dendeng Balado,Pedas,45000,Makan Siang,Sumatera Barat,Daging sapi iris tipis yang digoreng,4.7,30,930,96
Balado Terong,Pedas,20000,Makan Siang,Sumatera Barat,Terong yang dimasak dengan sambal balado pedas.,4.3,15,800,88
Balado Kentang,Pedas,20000,Makan Siang,Sumatera Barat,Kentang goreng yang dimasak dengan sambal balado pedas.,4.4,15,820,89
Balado Telur,Pedas,18000,Makan Siang,Sumatera Barat,Telur rebus yang dimasak dengan sambal balado pedas.,4.2,15,780,87
Sambalado Tanak,Pedas,25000,Makan Siang,Sumatera Barat,Sambalado yang dimasak dengan santan,4.5,20,850,90
Gulai Cincang,Gurih/Umami,45000,Makan Siang,Sumatera Barat,Daging sapi cincang yang dimasak gulai,4.6,35,890,93
Gulai Itik,Gurih/Umami,50000,Makan Malam,Sumatera Barat,Daging itik yang dimasak gulai,4.7,40,900,94
Kalio Daging,Gurih/Umami,48000,Makan Siang,Sumatera Barat,Mirip rendang namun kuahnya lebih basah dan kental.,4.7,180,930,96
Ayam Pop,Gurih/Umami,35000,Makan Siang,Sumatera Barat,Ayam goreng tanpa kulit,4.6,30,900,94
Gulai Tunjang,Gurih/Umami,40000,Makan Siang,Sumatera Barat,Gulai dari kaki sapi (tunjang),4.7,35,920,95
Anyang Pucuk Ubi,Gurih/Umami,20000,Makan Siang,Sumatera Barat,Salad daun singkong dengan bumbu kelapa dan rempah,4,15,750,88
Pangek Masin,Asam,35000,Makan Siang,Sumatera Barat,Ikan berkuah asam pedas dari ikan gabus atau ikan asin,4.3,25,800,89
Lamang Tapai,Manis,25000,Camilan,Sumatera Barat,Ketan bakar dalam bambu,4.5,60,850,90
Bika Ambon,Manis,30000,Camilan,Sumatera Utara,Kue bertekstur sarang lebah,4.6,40,900,94
Bolu Gulung Medan,Manis,35000,Camilan,Sumatera Utara,Bolu gulung dengan berbagai isian,4.7,30,920,95
Arsik Ikan Mas,Pedas,40000,Makan Siang,Sumatera Utara,Ikan mas yang dimasak dengan bumbu arsik khas Batak,4.8,40,950,97
Saksang,Pedas,45000,Makan Malam,Sumatera Utara,Daging babi atau anjing yang dimasak dengan darah dan rempah,3,40,500,60
Dengke Naniura,Asam,35000,Makan Siang,Sumatera Utara,Ikan mentah yang dimarinasi jeruk nipis dan rempah,4,20,700,80
Mi Gomak,Gurih/Umami,28000,Makan Siang,Sumatera Utara,Mi kuning tebal dengan kuah atau goreng,4.3,20,800,89
Lappet,Manis,10000,Camilan,Sumatera Utara,Kue beras ketan berbentuk piramida,3.9,20,680,82
Ombus-ombus,Manis,9000,Camilan,Sumatera Utara,Kue beras ketan dengan isian gula merah,4,15,700,85
Nasi Babi Panggang,Gurih/Umami,50000,Makan Malam,Sumatera Utara,Nasi dengan daging babi panggang khas Batak,4.5,40,880,90
Lemang Tapai,Manis,25000,Camilan,Sumatera Barat,Ketan bakar dalam bambu,4.5,60,850,90
Gulai Belut,Gurih/Umami,35000,Makan Siang,Kepulauan Riau,Belut yang dimasak gulai,4,25,700,80
Gulai Pakis,Gurih/Umami,20000,Makan Siang,Kepulauan Riau,Pakis (daun paku) yang dimasak gulai,4.2,15,780,87
Rendang Paru,Gurih/Umami,40000,Makan Siang,Sumatera Barat,Paru sapi yang dimasak rendang,4.5,120,880,92
Dendeng Batokok,Pedas,45000,Makan Siang,Sumatera Barat,Dendeng sapi yang dipukul hingga empuk,4.7,30,920,95
Sambal Lado Mudo,Pedas,10000,Semua,Sumatera Barat,Sambal hijau khas Padang,4.7,5,950,97
Nasi Kapau,Gurih/Umami,35000,Makan Siang,Sumatera Barat,Nasi dengan aneka lauk pauk khas Kapau,4.6,10,900,93
Bubur Kampiun,Manis,20000,Sarapan,Sumatera Barat,Bubur campur dengan berbagai jenis bubur manis,4.5,15,880,92
Sate Padang Pariaman Kuah Hitam,Pedas,38000,Makan Malam,Sumatera Barat,Sate Padang dengan kuah hitam dari keluak,4.7,30,930,96
Martabak Kubang,Gurih/Umami,40000,Makan Malam,Sumatera Barat,Martabak telur dengan isian daging dan kuah kari,4.6,20,900,94
Pempek Lenjer,Asin,20000,Camilan,Sumatera Selatan,Pempek berbentuk panjang,4.5,20,900,93
Pempek Adaan,Asin,20000,Camilan,Sumatera Selatan,Pempek berbentuk bulat,4.6,20,920,95
Pempek Kulit,Asin,18000,Camilan,Sumatera Selatan,Pempek dari kulit ikan,4.4,15,880,92
Pempek Kapal Selam Besar,Asin,35000,Camilan,Sumatera Selatan,Pempek kapal selam ukuran besar,4.8,25,970,98
Tekwan Besar,Asin,30000,Makan Siang,Sumatera Selatan,Tekwan dengan porsi lebih besar,4.3,25,800,88
Model Besar,Asin,28000,Makan Siang,Sumatera Selatan,Model dengan porsi lebih besar,4.1,25,780,86
Martabak Har,Gurih/Umami,45000,Makan Malam,Sumatera Selatan,Martabak telur dengan kuah kari khas Palembang,4.8,20,950,97
Nasi Minyak,Gurih/Umami,25000,Sarapan,Sumatera Selatan,Nasi gurih dengan minyak samin,4.2,15,800,89
Malbi Daging Sapi,Gurih/Umami,55000,Makan Malam,Sumatera Selatan,Daging sapi masak kecap khas Palembang,4.7,40,900,93
Tempoyak,Asam,20000,Semua,Sumatera Selatan,Sambal fermentasi durian,3.5,10,600,70
Sambal Lingkung,Pedas,15000,Semua,Bangka Belitung,Sambal khas Bangka Belitung dari ikan cincang dan bumbu.,15,700,80,
Otak-otak Ikan Tenggiri,Asin,18000,Camilan,Bangka Belitung,Otak-otak dari ikan tenggiri,4.5,15,900,93
Kue Rengas,Manis,10000,Camilan,Bangka Belitung,Kue goreng berbentuk cincin dari tepung beras dan gula merah.,3.9,15,680,82
Kemplang,Asin,15000,Camilan,Bangka Belitung,Kerupuk ikan khas Bangka Belitung,4.3,10,850,90
Kerupuk Getas,Asin,12000,Camilan,Bangka Belitung,Kerupuk dari ikan dan sagu,4.2,10,800,88
Lempah Kuning,Asam,40000,Makan Siang,Bangka Belitung,Ikan berkuah kuning asam pedas,4.6,30,900,94
Lempah Darat,Gurih/Umami,30000,Makan Siang,Bangka Belitung,Sayuran atau daging yang dimasak dengan bumbu lempah tanpa santan.,4.2,20,780,87
Mie Belitung,Gurih/Umami,28000,Makan Siang,Bangka Belitung,Mie kuning dengan kuah kental udang,4.4,20,850,90
Berego,Gurih/Umami,20000,Sarapan,Bangka Belitung,Mirip lontong dengan kuah santan ikan,4.1,20,750,88
Rusip Ikan,Asin,15000,Semua,Bangka Belitung,Fermentasi ikan kecil,3.8,,650,75
Siput Gonggong,Gurih/Umami,30000,Camilan,Kepulauan Riau,Siput laut yang direbus atau ditumis,4,20,700,80
Otak-otak Gonggong,Asin,20000,Camilan,Kepulauan Riau,Otak-otak dari daging siput gonggong,4.1,20,750,85
Luti Gendang,Gurih/Umami,10000,Camilan,Kepulauan Riau,Roti goreng isi abon ikan atau ayam,4.2,15,800,90
Sup Tulang,Gurih/Umami,45000,Makan Malam,Kepulauan Riau,Sup tulang sapi dengan kuah bening,4.6,35,890,93
Nasi Dagang,Gurih/Umami,25000,Sarapan,Kepulauan Riau,Nasi dengan bumbu kunyit,4,20,700,85
Laksa Kuah,Gurih/Umami,30000,Makan Siang,Kepulauan Riau,Mi beras dengan kuah santan ikan,4.4,25,850,90
Laksa Goreng,Gurih/Umami,30000,Makan Siang,Kepulauan Riau,Mi beras yang digoreng dengan bumbu,4.3,20,820,89
Sop Ikan Batam,Gurih/Umami,40000,Makan Siang,Kepulauan Riau,Sup ikan dengan kuah bening segar,4.7,30,900,94
Kopi O,Pahit,8000,Semua,Kepulauan Riau,Kopi hitam pekat tanpa gula,4.1,3,800,90
Teh Tarik,Manis,15000,Semua,Kepulauan Riau,Teh yang ditarik saat disajikan,4.5,5,900,95
Kopi Susu Hangat,Manis,18000,Semua,Kepulauan Riau,Kopi dengan susu,4.3,5,850,91
Teh Susu,Manis,15000,Semua,Kepulauan Riau,Teh dengan susu,4.2,5,820,90
Kopi Tubruk,Pahit,10000,Semua,Kepulauan Riau,Kopi hitam yang diseduh langsung dengan ampasnya.,4.2,3,850,92
Wedang Jahe Susu Cokelat,Manis,18000,Semua,Kepulauan Riau,Minuman jahe hangat dengan susu dan cokelat,4.5,8,880,92
Es Kopi Susu Gula Aren,Manis,20000,Semua,Kepulauan Riau,Es kopi susu dengan pemanis gula aren,4.7,5,950,97
Es Kopi Susu Creamy,Manis,22000,Semua,Kepulauan Riau,Es kopi susu dengan tekstur lebih creamy.,4.6,5,920,95
Jus Mix Buah,Manis,28000,Semua,Kepulauan Riau,Jus campuran beberapa jenis buah,4.5,8,880,92
Jus Sayur,Gurih/Umami,25000,Semua,Kepulauan Riau,Jus campuran sayuran,3.8,8,650,75
Jus Detox,Asam,30000,Semua,Kepulauan Riau,Jus campuran buah dan sayur untuk detoksifikasi.,4,8,700,80
Jus Green Smoothie,Gurih/Umami,35000,Semua,Kepulauan Riau,Smoothie hijau dari sayuran hijau dan buah,4.2,10,750,85
Jus Antioksidan,Manis,30000,Semua,Kepulauan Riau,Jus buah beri atau buah kaya antioksidan lainnya.,4.3,8,800,88
Jus Immunity Booster,Manis,28000,Semua,Kepulauan Riau,Jus buah dan sayur yang dirancang untuk meningkatkan imunitas.,4.2,8,780,87
Jus Probiotik,Asam,25000,Semua,Kepulauan Riau,Jus dengan tambahan kultur probiotik,4,5,700,80
Jus Kurma Susu,Manis,30000,Semua,Kepulauan Riau,Jus kurma dengan susu,4.5,5,880,92
Es Campur Gula Aren,Manis,20000,Semua,Kepulauan Riau,Es campur dengan pemanis gula aren,4.4,8,850,91
Es Buah Nata de Coco,Manis,22000,Semua,Kepulauan Riau,Es buah dengan tambahan nata de coco,4.5,8,880,92
Es Kopi Susu Regal,Manis,25000,Semua,Kepulauan Riau,Es kopi susu dengan topping biskuit Regal.,4.7,5,950,97
Es Cokelat Klasik,Manis,18000,Semua,Kepulauan Riau,Minuman cokelat dingin,4.3,5,850,90
Es Cokelat Hazelnut,Manis,22000,Semua,Jakarta,Minuman cokelat dingin dengan rasa hazelnut.,4.5,5,880,92
Es Matcha Latte,Manis,25000,Semua,Jakarta,Minuman teh hijau matcha dingin dengan susu.,4.6,5,900,93
Es Thai Tea,Manis,18000,Semua,Jakarta,Teh Thailand dingin dengan susu kental manis,4.5,5,920,95
Es Green Tea Latte,Manis,22000,Semua,Jakarta,Minuman teh hijau dingin dengan susu,4.5,5,880,92
Cincau Cappuccino,Manis,18000,Semua,Jakarta,Minuman cincau hitam dengan campuran kopi cappuccino.,4.2,5,800,88
Cincau Jelly,Manis,15000,Semua,Jakarta,Minuman cincau dengan tambahan jelly,4.1,5,780,87
Sop Durian,Manis,35000,Semua,Jakarta,Sup durian dengan es krim atau buah-buahan,4.8,10,950,97
Es Pisang Ungu,Manis,22000,Semua,Jakarta,Kreasi es pisang dengan adonan berwarna ungu.,4,15,750,88
Kue Bugis Mandi,Manis,10000,Camilan,Jakarta,Kue bugis yang disiram kuah santan,4.1,20,780,89
Kue Bugis Ketan Hitam,Manis,10000,Camilan,Jakarta,Kue bugis dengan bahan dasar ketan hitam,4,20,750,88
Kue Bolu Pisang,Manis,25000,Camilan,Jakarta,Bolu dengan rasa pisang,4.3,30,850,90
Kue Bolu Pandan,Manis,25000,Camilan,Jakarta,Bolu dengan aroma dan warna hijau pandan.,4.4,30,880,92
Kue Bolu Tape,Manis,28000,Camilan,Jakarta,Bolu dengan campuran tape singkong,4.5,35,900,93
Kue Bolu Cokelat,Manis,28000,Camilan,Jakarta,Bolu dengan rasa cokelat,4.6,30,920,95
Kue Bolu Keju,Manis,30000,Camilan,Jakarta,Bolu dengan taburan keju,4.7,30,930,96
Kue Bolu Gulung Keju,Manis,38000,Camilan,Jakarta,Bolu gulung dengan isian dan taburan keju.,4.8,35,950,97
Kue Bolu Gulung Nanas,Manis,35000,Camilan,Jakarta,Bolu gulung dengan selai nanas sebagai isian.,4.6,30,900,94
Kue Bolu Gulung Mocha,Manis,35000,Camilan,Jakarta,Bolu gulung dengan rasa mocha,4.5,30,880,92
Kue Bolu Gulung Vanilla,Manis,32000,Camilan,Jakarta,Bolu gulung dengan rasa vanilla,4.4,25,850,90
Kue Chiffon Pandan,Manis,35000,Camilan,Jakarta,Kue chiffon dengan aroma dan warna pandan,4.6,40,900,93
Kue Chiffon Cokelat,Manis,38000,Camilan,Jakarta,Kue chiffon dengan rasa cokelat,4.7,40,920,95
Kue Chiffon Keju,Manis,40000,Camilan,Jakarta,Kue chiffon dengan taburan keju,4.8,40,930,96
Kue Lumpur Pandan,Manis,10000,Camilan,Jakarta,Kue lumpur dengan aroma dan warna hijau pandan.,4.2,20,800,89
Kue Lumpur Cokelat,Manis,12000,Camilan,Jakarta,Kue lumpur dengan rasa cokelat.,4.3,20,820,90
Kue Pukis Pandan,Manis,8000,Camilan,Jakarta,Kue pukis dengan aroma dan warna hijau pandan.,4.1,15,780,89
Kue Pukis Cokelat,Manis,9000,Camilan,Jakarta,Kue pukis dengan topping cokelat meses.,4.2,15,800,90
Kue Pukis Keju,Manis,10000,Camilan,Jakarta,Kue pukis dengan topping keju.,4.3,15,820,91
Kue Pancong Pandan,Manis,9000,Camilan,Jakarta,Kue pancong dengan aroma dan warna hijau pandan.,4.1,15,750,88
Kue Apem Mekar,Manis,9000,Camilan,Jawa Tengah,Kue apem yang mekar sempurna saat dikukus.,4,20,700,85
Kue Apem Gula Merah,Manis,9000,Camilan,Jawa Tengah,Kue apem dengan pemanis gula merah.,4,20,720,87
Kue Lapis Cokelat,Manis,18000,Camilan,Jawa Tengah,Kue lapis dengan rasa cokelat.,4.2,30,800,89
Kue Lapis Keju,Manis,20000,Camilan,Jawa Tengah,Kue lapis dengan taburan keju.,4.3,30,820,90
Kue Lapis Talas Bogor,Manis,35000,Camilan,Jawa Barat,Kue lapis dari talas khas Bogor,4.6,30,900,94
Asinan Buah,Asam,20000,Semua,Jawa Barat,Berbagai jenis buah segar dengan kuah asam pedas dan kacang.,4.3,10,850,92
Asinan Sayur,Asam,20000,Semua,Jawa Barat,Berbagai jenis sayuran segar dengan kuah asam pedas dan kacang.,4.2,10,800,90
Rujak Buah,Pedas,15000,Semua,Jawa Barat,Berbagai jenis buah segar dengan bumbu kacang pedas manis.,4.5,10,900,95
Rujak Cuka,Asam,15000,Semua,Jawa Barat,Rujak buah dengan kuah cuka,4,10,750,88
Rujak Juhi,Gurih/Umami,25000,Camilan,Jakarta,Rujak dengan juhi (cumi kering),4.3,15,800,89
Rujak Serut,Manis,15000,Semua,Kepulauan Riau,Rujak buah yang diserut halus dengan bumbu pedas manis.,4.2,10,780,87
Rujak Gobet,Manis,15000,Semua,Kepulauan Riau,Rujak buah yang dipotong panjang-panjang,4.1,10,750,86
Gado-gado Lontong,Gurih/Umami,28000,Makan Siang,Kepulauan Riau,Gado-gado dengan tambahan lontong,4.5,15,900,93
Ketoprak Telur,Gurih/Umami,25000,Makan Siang,Jakarta,Ketoprak dengan tambahan telur dadar atau ceplok.,4.4,15,880,92
Tahu Campur Lamongan,Gurih/Umami,30000,Makan Siang,Jawa Timur,Tahu campur khas Lamongan,4.5,25,890,93
Lontong Balap Telur,Gurih/Umami,25000,Makan Siang,Jawa Timur,Lontong balap dengan tambahan telur rebus.,4.2,15,800,88
Nasi Krawu Komplit,Gurih/Umami,35000,Makan Siang,Jawa Timur,Nasi krawu dengan lauk lengkap,4.6,15,900,94
Sego Sambel Ikan Pari,Pedas,28000,Makan Malam,Jawa Timur,Nasi dengan sambal dan ikan pari goreng.,4.3,15,820,89
Rawon Daging,Gurih/Umami,45000,Makan Malam,Jawa Timur,Rawon dengan potongan daging sapi yang melimpah.,4.7,40,950,97
Rawon Nguling,Gurih/Umami,50000,Makan Malam,Jawa Timur,Rawon khas Nguling,4.8,45,960,98
Bakso Malang Komplit,Gurih/Umami,32000,Makan Siang,Jawa Timur,"Bakso Malang dengan semua jenis isian (bakso, gorengan, dll)",4.6,20,920,95
Cwie Mie Ayam,Gurih/Umami,28000,Makan Siang,Jawa Timur,Cwie Mie dengan topping ayam cincang dan pangsit.,4.4,15,870,92
Tahu Telor Petis,Gurih/Umami,25000,Makan Siang,Jawa Timur,Tahu telor dengan dominasi bumbu petis,4.2,15,800,88
Lontong Kupang Komplit,Gurih/Umami,28000,Makan Siang,Jawa Timur,Lontong kupang dengan lentho dan sate kerang.,4.1,20,780,87
Sate Klopo Daging,Gurih/Umami,40000,Makan Malam,Jawa Timur,Sate klopo dengan daging sapi,4.7,30,900,93
Nasi Goreng Jancuk Pedas,Pedas,45000,Makan Malam,Jawa Timur,Nasi goreng Jancuk dengan tingkat kepedasan ekstra.,4.9,25,990,99
Gado-gado Pengantin,Gurih/Umami,35000,Makan Siang,Jakarta,Gado-gado dengan isian lebih lengkap dan penyajian menarik.,4.6,20,900,94
Tahu Gejrot Pedas,Pedas,18000,Camilan,Jawa Barat,Tahu gejrot dengan tingkat kepedasan yang lebih tinggi.,4.4,10,850,92
Empal Gentong Asli,Gurih/Umami,45000,Makan Siang,Jawa Barat,Empal Gentong dengan resep asli Cirebon.,4.7,35,920,95
Mie Koclok Pedas,Pedas,30000,Makan Siang,Jawa Barat,Mie koclok dengan bumbu yang lebih pedas.,4.5,20,850,90
Cilok Kuah Pedas,Pedas,15000,Camilan,Jawa Barat,Cilok kenyal dengan kuah pedas dan gurih.,4.2,10,850,90
Cilok Bumbu Kacang,Gurih/Umami,12000,Camilan,Jawa Barat,Cilok kenyal dengan bumbu kacang manis gurih.,4.3,10,880,92
